Div;Season;Date;HomeTeam;AwayTeam;FTHG;FTAG;FTR;HTHG;HTAG;HTR;HomeBookmaker;DrawBookmaker;AwayBookmaker;avg_home_spectator;avg_away_spectator
E0;01_02;01.12.2001;Blackburn;Middlesbrough;0;1;A;0;1;A;1.85;3.1;3.6;20740.0;30747.0
E0;01_02;01.12.2001;Charlton;Newcastle;1;1;D;0;0;D;2.5;3.0;2.5;20023.0;51309.0
E0;01_02;01.12.2001;Derby;Liverpool;0;1;A;0;1;A;3.8;3.1;1.8;28551.0;43699.0
E0;01_02;01.12.2001;Ipswich;Arsenal;0;2;A;0;1;A;3.5;3.1;1.9;22532.0;37974.0
E0;01_02;01.12.2001;Man United;Chelsea;0;3;A;0;1;A;1.75;3.2;4.0;67490.0;34700.0
E0;01_02;01.12.2001;Sunderland;West Ham;1;0;H;0;0;D;1.8;3.1;3.8;46791.0;25697.0
E0;01_02;02.12.2001;Everton;Southampton;2;0;H;0;0;D;1.8;3.1;3.8;34131.0;15115.0
E0;01_02;02.12.2001;Fulham;Leeds;0;0;D;0;0;D;2.5;3.0;2.5;14985.0;38974.0
E0;01_02;03.12.2001;Tottenham;Bolton;3;2;H;0;1;A;1.65;3.3;4.4;35195.0;16062.0
E0;01_02;05.12.2001;Chelsea;Charlton;0;1;A;0;0;D;1.4;3.9;6.0;34700.0;20023.0
E0;01_02;05.12.2001;West Ham;Aston Villa;1;1;D;0;1;A;2.3;3.0;2.7;25697.0;31597.0
E0;01_02;08.12.2001;Charlton;Tottenham;3;1;H;2;0;H;2.5;3.0;2.5;20023.0;35195.0
E0;01_02;08.12.2001;Derby;Bolton;1;0;H;0;0;D;2.1;2.9;3.2;28551.0;16062.0
E0;01_02;08.12.2001;Fulham;Everton;2;0;H;1;0;H;1.85;3.1;3.6;14985.0;34131.0
E0;01_02;08.12.2001;Leicester;Southampton;0;4;A;0;1;A;1.9;3.1;3.5;20452.0;15115.0
E0;01_02;08.12.2001;Liverpool;Middlesbrough;2;0;H;2;0;H;1.45;3.8;5.4;43699.0;30747.0
E0;01_02;08.12.2001;Man United;West Ham;0;1;A;0;0;D;1.3;4.2;8.0;67490.0;25697.0
E0;01_02;09.12.2001;Arsenal;Aston Villa;3;2;H;0;2;A;1.6;3.4;4.6;37974.0;31597.0
E0;01_02;09.12.2001;Blackburn;Leeds;1;2;A;0;0;D;2.5;3.0;2.5;20740.0;38974.0
E0;01_02;09.12.2001;Ipswich;Newcastle;0;1;A;0;1;A;2.9;3.0;2.2;22532.0;51309.0
E0;01_02;09.12.2001;Sunderland;Chelsea;0;0;D;0;0;D;2.5;3.0;2.5;46791.0;34700.0
E0;01_02;12.12.2001;Liverpool;Fulham;0;0;D;0;0;D;1.5;3.7;5.0;43699.0;14985.0
E0;01_02;12.12.2001;Man United;Derby;5;0;H;2;0;H;1.3;4.2;8.0;67490.0;28551.0
E0;01_02;15.12.2001;Bolton;Charlton;0;0;D;0;0;D;2.3;3.0;2.7;16062.0;20023.0
E0;01_02;15.12.2001;Everton;Derby;1;0;H;0;0;D;1.8;3.1;3.8;34131.0;28551.0
E0;01_02;15.12.2001;Middlesbrough;Man United;0;1;A;0;0;D;4.2;3.2;1.7;30747.0;67490.0
E0;01_02;15.12.2001;Newcastle;Blackburn;2;1;H;0;1;A;1.7;3.2;4.2;51309.0;20740.0
E0;01_02;15.12.2001;Southampton;Sunderland;2;0;H;1;0;H;2.3;3.0;2.7;15115.0;46791.0
